id,sp,calyx_length,corolla_length,tube_length
1,S.guaranitica,7.75,4.57,2.39
2,S.guaranitica,7.86,5.44,2.38
3,S.guaranitica,8.26,5.36,2.26
4,S.guaranitica,10.03,6.2,3.34
5,S.guaranitica,11.4,6.62,3.83
6,S.guaranitica,12.03,7.14,3.87
7,S.guaranitica,12.23,7.45,4.58
8,S.guaranitica,15.81,12.45,8.25
9,S.guaranitica,17.65,16.62,11.01
10,S.guaranitica,8.97,5.04,3.03
11,S.guaranitica,10.62,5.74,3.39
12,S.guaranitica,5.13,3.16,1.46
13,S.guaranitica,6.48,3.84,2.07
14,S.guaranitica,7.19,4.5,2.43
15,S.guaranitica,13.19,8.91,5.37
1,S.stachydifolia,7.35,7.85,4.57
2,S.stachydifolia,7.65,6.8,3.95
3,S.stachydifolia,3.88,2.65,1.63
4,S.stachydifolia,4.98,3.32,1.92
5,S.stachydifolia,6.04,3.53,2.35
6,S.stachydifolia,5.55,4,2.44
7,S.stachydifolia,8.38,6.38,3.63
8,S.stachydifolia,5.71,5.04,3.49
9,S.stachydifolia,6.7,6.21,3.98
10,S.stachydifolia,4.51,3.42,1.96
11,S.stachydifolia,4.16,2.77,1.52
12,S.stachydifolia,3.57,2.75,1.61
13,S.stachydifolia,3.79,2.83,1.6
14,S.stachydifolia,8.13,6.85,4.27
15,S.stachydifolia,7.03,6.4,4.02
