species,ID,bud,cell,region,W,L,TL
S. guaranitica,1,1,1,basal,12.325,29.289,2878.077
S. guaranitica,1,1,2,basal,11.194,34.437,2878.077
S. guaranitica,1,1,3,basal,20.063,18.346,2878.077
S. guaranitica,1,1,4,basal,15.671,21.193,2878.077
S. guaranitica,1,1,5,basal,14.442,18.05,2878.077
S. guaranitica,1,1,6,medium,13.332,12.231,2878.077
S. guaranitica,1,1,7,medium,15.867,7.241,2878.077
S. guaranitica,1,1,8,medium,15.56,9.458,2878.077
S. guaranitica,1,1,9,medium,17.878,14.759,2878.077
S. guaranitica,1,1,10,medium,16.393,12.664,2878.077
S. guaranitica,1,1,11,distal,11.003,12.219,2878.077
S. guaranitica,1,1,12,distal,14.139,11.39,2878.077
S. guaranitica,1,1,13,distal,14.931,10.597,2878.077
S. guaranitica,1,1,14,distal,9.998,15.162,2878.077
S. guaranitica,1,1,15,distal,6.4,10.844,2878.077
S. guaranitica,1,2,1,basal,23.075,39.32,3863.032
S. guaranitica,1,2,2,basal,16.661,40.703,3863.032
S. guaranitica,1,2,3,basal,16.959,32.632,3863.032
S. guaranitica,1,2,4,basal,12.418,52.833,3863.032
S. guaranitica,1,2,5,basal,24.152,31.716,3863.032
S. guaranitica,1,2,6,medium,20.111,12.729,3863.032
S. guaranitica,1,2,7,medium,17.485,10.574,3863.032
S. guaranitica,1,2,8,medium,21.223,11.863,3863.032
S. guaranitica,1,2,9,medium,20.5,11.554,3863.032
S. guaranitica,1,2,10,medium,15.837,8.83,3863.032
S. guaranitica,1,2,11,distal,11.554,15.551,3863.032
S. guaranitica,1,2,12,distal,10.32,19.339,3863.032
S. guaranitica,1,2,13,distal,12.913,16.384,3863.032
S. guaranitica,1,2,14,distal,8.83,16.528,3863.032
S. guaranitica,1,2,15,distal,10.937,12.442,3863.032
S. guaranitica,1,3,1,basal,31.667,85.076,7147.708
S. guaranitica,1,3,2,basal,27.948,59.001,7147.708
S. guaranitica,1,3,3,basal,29.811,51.552,7147.708
S. guaranitica,1,3,4,basal,34.202,34.794,7147.708
S. guaranitica,1,3,5,basal,32.909,54.814,7147.708
S. guaranitica,1,3,6,medium,27.769,25.526,7147.708
S. guaranitica,1,3,7,medium,16.156,28.004,7147.708
S. guaranitica,1,3,8,medium,23.008,25.465,7147.708
S. guaranitica,1,3,9,medium,23.798,19.908,7147.708
S. guaranitica,1,3,10,medium,21.812,18.628,7147.708
S. guaranitica,1,3,11,distal,21.148,32.27,7147.708
S. guaranitica,1,3,12,distal,22.362,22.662,7147.708
S. guaranitica,1,3,13,distal,21.148,24.603,7147.708
S. guaranitica,1,3,14,distal,20.575,34.1,7147.708
S. guaranitica,1,3,15,distal,17.43,22.974,7147.708
S. guaranitica,1,4,1,basal,36.923,76.935,11272.685
S. guaranitica,1,4,2,basal,31.121,73.385,11272.685
S. guaranitica,1,4,3,basal,39.86,113.607,11272.685
S. guaranitica,1,4,4,basal,33.008,69.712,11272.685
S. guaranitica,1,4,5,basal,32.632,65.786,11272.685
S. guaranitica,1,4,6,medium,19.047,23.041,11272.685
S. guaranitica,1,4,7,medium,19.879,34.173,11272.685
S. guaranitica,1,4,8,medium,23.669,39.026,11272.685
S. guaranitica,1,4,9,medium,18.669,33.53,11272.685
S. guaranitica,1,4,10,medium,21.953,37.276,11272.685
S. guaranitica,1,4,11,distal,25.919,46.237,11272.685
S. guaranitica,1,4,12,distal,23.406,30.279,11272.685
S. guaranitica,1,4,13,distal,26.204,48.832,11272.685
S. guaranitica,1,4,14,distal,22.602,42.632,11272.685
S. guaranitica,1,4,15,distal,19.259,52.881,11272.685
S. guaranitica,1,5,1,basal,42.478,136.179,25956.12
S. guaranitica,1,5,2,basal,36.776,129.641,25956.12
S. guaranitica,1,5,3,basal,37.508,102.586,25956.12
S. guaranitica,1,5,4,basal,28.278,147.264,25956.12
S. guaranitica,1,5,5,basal,27.664,107.519,25956.12
S. guaranitica,1,5,6,medium,30.215,61.725,25956.12
S. guaranitica,1,5,7,medium,24.414,59.625,25956.12
S. guaranitica,1,5,8,medium,27.969,61.999,25956.12
S. guaranitica,1,5,9,medium,33.742,75.057,25956.12
S. guaranitica,1,5,10,medium,31.764,71.409,25956.12
S. guaranitica,1,5,11,distal,47.207,83.862,25956.12
S. guaranitica,1,5,12,distal,47.19,83.537,25956.12
S. guaranitica,1,5,13,distal,48.923,117.425,25956.12
S. guaranitica,1,5,14,distal,41.453,74.885,25956.12
S. guaranitica,1,5,15,distal,43.131,109.967,25956.12
S. guaranitica,2,1,1,basal,23.406,44.046,3384.978
S. guaranitica,2,1,2,basal,26.937,25.601,3384.978
S. guaranitica,2,1,3,basal,21.688,24.938,3384.978
S. guaranitica,2,1,4,basal,23.562,36.555,3384.978
S. guaranitica,2,1,5,basal,23.644,35.842,3384.978
S. guaranitica,2,1,6,medium,15.367,11.863,3384.978
S. guaranitica,2,1,7,medium,19.733,10.906,3384.978
S. guaranitica,2,1,8,medium,16.501,14.931,3384.978
S. guaranitica,2,1,9,medium,16.768,17.43,3384.978
S. guaranitica,2,1,10,medium,18.941,18.009,3384.978
S. guaranitica,2,1,11,distal,14.595,14.621,3384.978
S. guaranitica,2,1,12,distal,14.902,13.039,3384.978
S. guaranitica,2,1,13,distal,13.353,13.664,3384.978
S. guaranitica,2,1,14,distal,13.408,11.504,3384.978
S. guaranitica,2,1,15,distal,13.054,11.487,3384.978
S. guaranitica,2,2,1,basal,18.607,44.839,6262.197
S. guaranitica,2,2,2,basal,22.006,61.069,6262.197
S. guaranitica,2,2,3,basal,27.278,59.796,6262.197
S. guaranitica,2,2,4,basal,21.599,48.432,6262.197
S. guaranitica,2,2,5,basal,22.215,42.021,6262.197
S. guaranitica,2,2,6,medium,22.353,17.397,6262.197
S. guaranitica,2,2,7,medium,15.523,19.408,6262.197
S. guaranitica,2,2,8,medium,18.007,28.589,6262.197
S. guaranitica,2,2,9,medium,23.603,25.458,6262.197
S. guaranitica,2,2,10,medium,18.628,17.661,6262.197
S. guaranitica,2,2,11,distal,16.719,29.071,6262.197
S. guaranitica,2,2,12,distal,16.156,28.004,6262.197
S. guaranitica,2,2,13,distal,16.765,25.579,6262.197
S. guaranitica,2,2,14,distal,19.879,35.414,6262.197
S. guaranitica,2,2,15,distal,18.017,31.046,6262.197
S. guaranitica,2,3,1,basal,26.204,47.492,6017.649
S. guaranitica,2,3,2,basal,24.112,58.736,6017.649
S. guaranitica,2,3,3,basal,21.953,62.698,6017.649
S. guaranitica,2,3,4,basal,26.439,59.625,6017.649
S. guaranitica,2,3,5,basal,26.197,44.612,6017.649
S. guaranitica,2,3,6,medium,16.192,22.362,6017.649
S. guaranitica,2,3,7,medium,16.251,20.49,6017.649
S. guaranitica,2,3,8,medium,18.638,22.983,6017.649
S. guaranitica,2,3,9,medium,20.528,16.765,6017.649
S. guaranitica,2,3,10,medium,21.121,16.776,6017.649
S. guaranitica,2,3,11,distal,17.485,20.528,6017.649
S. guaranitica,2,3,12,distal,16.156,19.289,6017.649
S. guaranitica,2,3,13,distal,17.386,21.554,6017.649
S. guaranitica,2,3,14,distal,22.491,25.646,6017.649
S. guaranitica,2,3,15,distal,23.669,17.781,6017.649
S. guaranitica,2,4,1,basal,29.759,51.056,9204.267
S. guaranitica,2,4,2,basal,29.518,76.512,9204.267
S. guaranitica,2,4,3,basal,27.72,70.515,9204.267
S. guaranitica,2,4,4,basal,31.661,55.762,9204.267
S. guaranitica,2,4,5,basal,34.954,76.323,9204.267
S. guaranitica,2,4,6,medium,23.008,27.321,9204.267
S. guaranitica,2,4,7,medium,19.87,26.086,9204.267
S. guaranitica,2,4,8,medium,21.741,43.624,9204.267
S. guaranitica,2,4,9,medium,21.741,23.603,9204.267
S. guaranitica,2,4,10,medium,18.638,19.879,9204.267
S. guaranitica,2,4,11,distal,14.295,36.062,9204.267
S. guaranitica,2,4,12,distal,16.12,43.981,9204.267
S. guaranitica,2,4,13,distal,18.638,38.497,9204.267
S. guaranitica,2,4,14,distal,19.259,32.932,9204.267
S. guaranitica,2,4,15,distal,17.397,40.365,9204.267
S. guaranitica,2,5,1,basal,28.67,120.868,21734.296
S. guaranitica,2,5,2,basal,27.433,105.82,21734.296
S. guaranitica,2,5,3,basal,27.349,138.119,21734.296
S. guaranitica,2,5,4,basal,29.804,139.883,21734.296
S. guaranitica,2,5,5,basal,33.736,93.139,21734.296
S. guaranitica,2,5,6,medium,23.05,67.407,21734.296
S. guaranitica,2,5,7,medium,28.804,139.309,21734.296
S. guaranitica,2,5,8,medium,26.344,105.699,21734.296
S. guaranitica,2,5,9,medium,23.562,99.41,21734.296
S. guaranitica,2,5,10,medium,21.011,123.352,21734.296
S. guaranitica,2,5,11,distal,28.079,96.89,21734.296
S. guaranitica,2,5,12,distal,34.292,82.077,21734.296
S. guaranitica,2,5,13,distal,26.958,102.415,21734.296
S. guaranitica,2,5,14,distal,25.336,94.25,21734.296
S. guaranitica,2,5,15,distal,27.489,94.839,21734.296
S. guaranitica,3,1,1,basal,16.441,17.416,2469.668
S. guaranitica,3,1,2,basal,14.236,21.811,2469.668
S. guaranitica,3,1,3,basal,14.002,32.076,2469.668
S. guaranitica,3,1,4,basal,12.97,23.606,2469.668
S. guaranitica,3,1,5,basal,16.609,21.068,2469.668
S. guaranitica,3,1,6,medium,9.072,9.205,2469.668
S. guaranitica,3,1,7,medium,9.263,12.879,2469.668
S. guaranitica,3,1,8,medium,11.863,13.516,2469.668
S. guaranitica,3,1,9,medium,13.225,10.647,2469.668
S. guaranitica,3,1,10,medium,14.493,14.919,2469.668
S. guaranitica,3,1,11,distal,5.287,9.056,2469.668
S. guaranitica,3,1,12,distal,9.263,12.262,2469.668
S. guaranitica,3,1,13,distal,10.148,11.794,2469.668
S. guaranitica,3,1,14,distal,7.405,17.248,2469.668
S. guaranitica,3,1,15,distal,9.205,16.158,2469.668
S. guaranitica,3,2,1,basal,21.768,53.302,5164.535
S. guaranitica,3,2,2,basal,22.431,43.598,5164.535
S. guaranitica,3,2,3,basal,22.491,45.323,5164.535
S. guaranitica,3,2,4,basal,27.158,50.157,5164.535
S. guaranitica,3,2,5,basal,19.497,38.059,5164.535
S. guaranitica,3,2,6,medium,15.536,19.908,5164.535
S. guaranitica,3,2,7,medium,17.43,13.717,5164.535
S. guaranitica,3,2,8,medium,23.008,15.634,5164.535
S. guaranitica,3,2,9,medium,17.386,17.562,5164.535
S. guaranitica,3,2,10,medium,16.192,21.812,5164.535
S. guaranitica,3,2,11,distal,11.177,17.397,5164.535
S. guaranitica,3,2,12,distal,15.241,21.503,5164.535
S. guaranitica,3,2,13,distal,13.039,27.638,5164.535
S. guaranitica,3,2,14,distal,14.285,16.454,5164.535
S. guaranitica,3,2,15,distal,13.35,15.601,5164.535
S. guaranitica,3,3,1,basal,29.603,44.818,7576.956
S. guaranitica,3,3,2,basal,35.092,35.286,7576.956
S. guaranitica,3,3,3,basal,29.714,62.046,7576.956
S. guaranitica,3,3,4,basal,32.395,29.759,7576.956
