sp,ID,plant,day_orig,long_calix,long_tube,long_tot,cat,day_pre,hours
S.guaranitica,1,b,1,12.49,NA,12.49,b,7,168
S.guaranitica,2,b,1,10.51,NA,10.51,b,10,240
S.guaranitica,3,b,1,10.84,NA,10.84,b,10,240
S.guaranitica,4,b,1,8.73,NA,8.73,b,11,264
S.guaranitica,5,b,1,6.97,NA,6.97,b,12,288
S.guaranitica,1,a,1,9.84,NA,9.84,b,9,216
S.guaranitica,2,a,1,15.38,NA,15.38,b,6,144
S.guaranitica,3,a,1,11.1,NA,11.1,b,9,216
S.guaranitica,4,a,1,10.46,NA,10.46,b,NA,NA
S.guaranitica,5,a,1,9.39,NA,9.39,b,10,240
S.guaranitica,6,a,1,8.05,NA,8.05,b,12,288
S.guaranitica,7,a,1,4.72,NA,4.72,b,13,312
S.guaranitica,1,b,2,13.18,NA,13.18,b,6,144
S.guaranitica,2,b,2,10.92,NA,10.92,b,9,216
S.guaranitica,3,b,2,11.25,NA,11.25,b,9,216
S.guaranitica,4,b,2,9.02,NA,9.02,b,10,240
S.guaranitica,5,b,2,7.04,NA,7.04,b,11,264
S.guaranitica,1,a,2,10.92,NA,10.92,b,8,192
S.guaranitica,2,a,2,15.54,NA,15.54,b,5,120
S.guaranitica,3,a,2,11.2,NA,11.2,b,8,192
S.guaranitica,4,a,2,12.11,NA,12.11,b,NA,NA
S.guaranitica,5,a,2,10.1,NA,10.1,b,9,216
S.guaranitica,6,a,2,8.1,NA,8.1,b,11,264
S.guaranitica,7,a,2,5.45,NA,5.45,b,12,288
S.guaranitica,1,b,3,13.68,NA,13.68,b,5,120
S.guaranitica,2,b,3,11.45,NA,11.45,b,8,192
S.guaranitica,3,b,3,11.73,NA,11.73,b,8,192
S.guaranitica,4,b,3,9.44,NA,9.44,b,9,216
S.guaranitica,5,b,3,7.44,NA,7.44,b,10,240
S.guaranitica,1,a,3,10.97,NA,10.97,b,7,168
S.guaranitica,2,a,3,15.89,NA,15.89,b,4,96
S.guaranitica,3,a,3,11.49,NA,11.49,b,7,168
S.guaranitica,4,a,3,12.7,NA,12.7,b,NA,NA
S.guaranitica,5,a,3,10.93,NA,10.93,b,8,192
S.guaranitica,6,a,3,8.43,NA,8.43,b,10,240
S.guaranitica,7,a,3,5.68,NA,5.68,b,11,264
S.guaranitica,1,b,4,13.91,NA,13.91,b,4,96
S.guaranitica,2,b,4,11.61,NA,11.61,b,7,168
S.guaranitica,3,b,4,11.32,NA,11.32,b,7,168
S.guaranitica,4,b,4,9.44,NA,9.44,b,8,192
S.guaranitica,5,b,4,8.01,NA,8.01,b,9,216
S.guaranitica,6,b,4,13.21,NA,13.21,b,5,120
S.guaranitica,1,a,4,11.14,NA,11.14,b,6,144
S.guaranitica,2,a,4,16.5,NA,16.5,b,3,72
S.guaranitica,3,a,4,12.22,NA,12.22,b,6,144
S.guaranitica,5,a,4,10.96,NA,10.96,b,7,168
S.guaranitica,6,a,4,8.81,NA,8.81,b,9,216
S.guaranitica,7,a,4,6.12,NA,6.12,b,10,240
S.guaranitica,1,b,5,14.5,NA,14.5,b,3,72
S.guaranitica,2,b,5,13.59,NA,13.59,b,6,144
S.guaranitica,3,b,5,13,NA,13,b,6,144
S.guaranitica,4,b,5,10.6,NA,10.6,b,7,168
S.guaranitica,5,b,5,9.54,NA,9.54,b,8,192
S.guaranitica,6,b,5,15.08,NA,15.08,b,4,96
S.guaranitica,1,a,5,12.2,NA,12.2,b,5,120
S.guaranitica,2,a,5,16.95,NA,16.95,b,2,48
S.guaranitica,3,a,5,12.57,NA,12.57,b,5,120
S.guaranitica,5,a,5,11.78,NA,11.78,b,6,144
S.guaranitica,6,a,5,9.61,NA,9.61,b,8,192
S.guaranitica,7,a,5,6.31,NA,6.31,b,9,216
S.guaranitica,1,b,6,16.39,NA,16.39,b,2,48
S.guaranitica,2,b,6,14.23,NA,14.23,b,5,120
S.guaranitica,3,b,6,15.54,NA,15.54,b,5,120
S.guaranitica,4,b,6,13.17,NA,13.17,b,6,144
S.guaranitica,5,b,6,10.35,NA,10.35,b,7,168
S.guaranitica,6,b,6,15.21,NA,15.21,b,3,72
S.guaranitica,1,a,6,12.47,NA,12.47,b,4,96
S.guaranitica,2,a,6,17.45,NA,17.45,b,1,24
S.guaranitica,3,a,6,12.65,NA,12.65,b,4,96
S.guaranitica,5,a,6,12.76,NA,12.76,b,5,120
S.guaranitica,6,a,6,10.39,NA,10.39,b,7,168
S.guaranitica,7,a,6,7.31,NA,7.31,b,8,192
S.guaranitica,1,b,7,16.31,NA,16.31,b,1,24
S.guaranitica,2,b,7,15.68,NA,15.68,b,4,96
S.guaranitica,3,b,7,16.23,NA,16.23,b,4,96
S.guaranitica,4,b,7,14.96,NA,14.96,b,5,120
S.guaranitica,5,b,7,13.32,NA,13.32,b,6,144
S.guaranitica,6,b,7,16.13,NA,16.13,b,2,48
S.guaranitica,1,a,7,13.7,NA,13.7,b,3,72
S.guaranitica,2,a,7,17.5,26.92,43.11,f,0,0
S.guaranitica,3,a,7,14.6,NA,14.6,b,3,72
S.guaranitica,5,a,7,14.55,NA,14.55,b,4,96
S.guaranitica,6,a,7,13.29,NA,13.29,b,6,144
S.guaranitica,7,a,7,7.33,NA,7.33,b,7,168
S.guaranitica,1,b,8,17.31,26.14,41.27,f,0,0
S.guaranitica,2,b,8,15.76,NA,15.76,b,3,72
S.guaranitica,3,b,8,17.02,NA,17.02,b,3,72
S.guaranitica,4,b,8,16.03,NA,16.03,b,4,96
S.guaranitica,5,b,8,13.87,NA,13.87,b,5,120
S.guaranitica,6,b,8,16.32,NA,16.32,b,1,24
S.guaranitica,1,a,8,14.7,NA,14.7,b,2,48
S.guaranitica,3,a,8,14.74,NA,14.74,b,2,48
S.guaranitica,5,a,8,15.59,NA,15.59,b,3,72
S.guaranitica,6,a,8,14.34,NA,14.34,b,5,120
S.guaranitica,7,a,8,9.15,NA,9.15,b,6,144
S.guaranitica,2,b,9,17.51,NA,17.51,b,2,48
S.guaranitica,3,b,9,17.12,NA,17.12,b,2,48
S.guaranitica,4,b,9,16.63,NA,16.63,b,3,72
S.guaranitica,5,b,9,14.85,NA,14.85,b,4,96
S.guaranitica,6,b,9,17.17,25.47,43,f,0,0
S.guaranitica,1,a,9,14.78,NA,14.78,b,1,24
S.guaranitica,3,a,9,15.11,NA,15.11,b,1,24
S.guaranitica,5,a,9,16.35,NA,16.35,b,2,48
S.guaranitica,6,a,9,14.6,NA,14.6,b,4,96
S.guaranitica,7,a,9,10.6,NA,10.6,b,5,120
S.guaranitica,2,b,10,17.58,NA,17.58,b,1,24
S.guaranitica,3,b,10,17.13,NA,17.13,b,1,24
S.guaranitica,4,b,10,17.91,NA,17.91,b,2,48
S.guaranitica,5,b,10,15.63,NA,15.63,b,3,72
S.guaranitica,1,a,10,15.75,26.43,42.91,f,0,0
S.guaranitica,3,a,10,15.74,28.45,42.74,f,0,0
S.guaranitica,5,a,10,16.54,NA,16.54,b,1,24
S.guaranitica,6,a,10,15.75,NA,15.75,b,3,72
S.guaranitica,7,a,10,12.06,NA,12.06,b,4,96
S.guaranitica,2,b,11,17.91,27.76,47.1,f,0,0
S.guaranitica,3,b,11,17.48,29.99,46.4,f,0,0
S.guaranitica,4,b,11,17.84,NA,17.84,b,1,24
S.guaranitica,5,b,11,16.28,NA,16.28,b,2,48
S.guaranitica,5,a,11,17.02,26.1,42.91,f,0,0
S.guaranitica,6,a,11,16.2,NA,16.2,b,2,48
S.guaranitica,7,a,11,12.65,NA,12.65,b,3,72
S.guaranitica,4,b,12,18.56,27.43,44.53,f,0,0
S.guaranitica,5,b,12,16.8,NA,16.8,b,1,24
S.guaranitica,6,a,12,17.89,NA,17.89,b,1,24
S.guaranitica,7,a,12,14.04,NA,14.04,b,2,48
S.guaranitica,5,b,13,16.83,27.82,43.7,f,0,0
S.guaranitica,6,a,13,18.44,28.72,45.89,f,0,0
S.guaranitica,7,a,13,14.66,NA,14.66,b,1,24
S.guaranitica,7,a,14,16.98,29.01,46.22,f,0,0
S.stachydifolia,1,a,1,5.27,NA,5.27,b,7,180
S.stachydifolia,1,a,1,5.45,NA,5.45,b,7,168
S.stachydifolia,1,a,2,6.53,NA,6.53,b,6,144
S.stachydifolia,1,a,3,7.21,NA,7.21,b,5,120
S.stachydifolia,1,a,4,7.6,NA,7.6,b,4,96
S.stachydifolia,1,a,5,8.5,NA,8.5,b,3,72
S.stachydifolia,1,a,6,8.6,NA,8.6,b,2,48
S.stachydifolia,1,a,7,8.89,NA,8.89,b,1,24
S.stachydifolia,1,a,8,8.89,11.5,20.68,f,0,0
S.stachydifolia,2,a,1,5.19,NA,5.19,b,7,180
S.stachydifolia,2,a,1,5.23,NA,5.23,b,7,168
S.stachydifolia,2,a,2,7.13,NA,7.13,b,6,144
S.stachydifolia,2,a,3,7.78,NA,7.78,b,5,120
S.stachydifolia,2,a,4,7.9,NA,7.9,b,4,96
S.stachydifolia,2,a,5,8.27,NA,8.27,b,3,72
S.stachydifolia,2,a,6,8.44,NA,8.44,b,2,48
S.stachydifolia,2,a,7,8.67,NA,8.67,b,1,24
S.stachydifolia,2,a,8,8.67,11.71,21.45,f,0,0
S.stachydifolia,3,a,1,4.6,NA,4.6,b,7,180
S.stachydifolia,3,a,1,4.85,NA,4.85,b,7,168
S.stachydifolia,3,a,2,5.4,NA,5.4,b,6,144
S.stachydifolia,3,a,3,6.94,NA,6.94,b,5,120
S.stachydifolia,3,a,4,7.08,NA,7.08,b,4,96
S.stachydifolia,3,a,5,7.34,NA,7.34,b,3,72
S.stachydifolia,3,a,6,8.54,NA,8.54,b,2,48
S.stachydifolia,3,a,7,8.73,NA,8.73,b,1,24
S.stachydifolia,3,a,8,8.73,11.84,21.45,f,0,0
S.stachydifolia,4,a,1,2.61,NA,2.61,b,11,276
S.stachydifolia,4,a,1,2.58,NA,2.58,b,11,264
S.stachydifolia,4,a,2,3.61,NA,3.61,b,10,240
S.stachydifolia,4,a,3,4.11,NA,4.11,b,9,216
