species,ID,bud,CTL,ULL,TL
gua,1,1,2205,1615,3684
gua,1,2,3307,2338,5582
gua,1,3,3783,2705,6538
gua,1,4,3925,2858,6786
gua,1,5,4672,3586,8447
gua,1,6,5718,3653,9268
gua,1,7,4956,3880,8828
gua,1,8,6590,4690,11358
gua,1,9,9572,6621,16642
gua,1,10,24027,16863,40191
gua,2,1,2673,1580,4163
gua,2,2,3484,2218,5472
gua,2,3,3820,2437,6029
gua,2,4,4916,3032,7836
gua,2,5,5978,3642,9652
gua,2,6,6246,3641,9762
gua,2,7,6809,4423,11077
gua,2,8,8529,4881,13243
gua,2,9,9056,5040,14107
gua,2,10,20888,11700,32805
gua,3,1,2628,1626,4248
gua,3,2,3544,2427,5885
gua,3,3,3637,2500,6209
gua,3,4,3611,2130,5731
gua,3,5,5307,3470,8754
gua,3,6,6929,4285,11125
gua,3,7,6530,3867,10415
gua,3,8,7842,4967,12926
gua,3,9,10345,5857,16292
gua,3,10,24073,16283,39285
gua,4,1,1888,1388,3217
gua,4,2,2636,1741,4184
gua,4,3,2857,2052,4733
gua,4,4,3054,2084,5043
gua,4,5,4167,3126,7298
gua,4,6,4461,3052,7334
gua,4,7,5663,3766,9372
gua,4,8,9078,5681,14781
gua,4,9,9290,5765,15015
gua,4,10,24438,16619,41338
gua,5,1,2728,1894,4464
gua,5,2,3570,2559,6115
gua,5,3,3638,2476,6228
gua,5,4,5575,3764,9333
gua,5,5,5959,3874,9770
gua,5,6,6003,3841,9875
gua,5,7,7062,4231,11375
gua,5,8,9147,5645,14743
gua,5,9,8937,5370,14356
gua,5,10,24963,17285,42341
gua,6,1,1996,1234,3121
gua,6,2,3115,1668,4579
gua,6,3,3452,1766,5114
gua,6,4,4277,2070,6161
gua,6,5,6385,4112,10412
gua,6,6,4971,2704,7483
gua,6,7,5723,3420,9148
gua,6,8,8102,4374,12418
gua,6,9,11824,5933,17500
gua,6,10,31461,15277,46652
gua,7,1,3037,1858,4728
gua,7,2,3302,2213,5335
gua,7,3,4346,2421,6590
gua,7,4,4398,2514,6916
gua,7,5,4611,2543,7172
gua,7,6,7639,4245,11708
gua,7,7,8118,4843,12924
gua,7,8,8277,4392,12500
gua,7,9,9123,5363,14766
gua,7,10,25543,13533,38940
gua,8,1,2378,1587,3806
gua,8,2,3105,2370,5385
gua,8,3,3806,2648,6318
gua,8,4,4758,3660,8316
gua,8,5,6097,4354,10385
gua,8,6,6128,4433,10513
gua,8,7,6097,4126,10261
gua,8,8,6269,4989,11118
gua,8,9,NA,NA,NA
